step,temp,weight,cost,best_weight,sat_clauses,sat_clauses_best
402,265297,4051,-1035,4092,66,66
403,265297,3603,-1483,4092,64,66
404,265297,3329,-1757,4092,63,66
405,265297,3578,-1508,4092,63,66
406,265297,3101,-1985,4092,61,66
407,265297,3470,-1616,4092,63,66
408,265297,3200,-1886,4092,61,66
409,265297,2951,-2135,4092,61,66
410,265297,2478,-2608,4092,56,66
411,265297,2109,-2977,4092,55,66
412,265297,1925,-3161,4092,55,66
413,265297,2097,-2989,4092,56,66
414,265297,2034,-3052,4092,54,66
415,265297,2304,-2782,4092,54,66
416,265297,2047,-3039,4092,56,66
417,265297,2296,-2790,4092,55,66
418,265297,2124,-2962,4092,59,66
419,265297,2398,-2688,4092,60,66
420,265297,2655,-2431,4092,56,66
421,265297,2827,-2259,4092,54,66
422,265297,2570,-2516,4092,57,66
423,265297,3043,-2043,4092,59,66
424,265297,3491,-1595,4092,63,66
425,265297,3675,-1411,4092,63,66
426,265297,3467,-1619,4092,63,66
427,265297,3694,-1392,4092,63,66
428,265297,3497,-1589,4092,64,66
429,265297,3515,-1571,4092,64,66
430,265297,3772,-1314,4092,63,66
431,265297,3299,-1787,4092,60,66
432,265297,3772,-1314,4092,63,66
433,265297,3502,-1584,4092,62,66
434,265297,3054,-2032,4092,56,66
435,265297,3251,-1835,4092,54,66
436,265297,3054,-2032,4092,56,66
437,265297,2797,-2289,4092,57,66
438,265297,3054,-2032,4092,56,66
439,265297,2780,-2306,4092,54,66
440,265297,2762,-2324,4092,56,66
441,265297,2959,-2127,4092,54,66
442,265297,2762,-2324,4092,56,66
443,265297,2590,-2496,4092,59,66
444,265297,2363,-2723,4092,62,66
445,265297,2177,-2909,4092,62,66
446,265297,2447,-2639,4092,62,66
447,265297,2198,-2888,4092,64,66
448,265297,2384,-2702,4092,64,66
449,265297,2611,-2475,4092,61,66
450,265297,2674,-2412,4092,61,66
451,265297,2447,-2639,4092,63,66
452,265297,2816,-2270,4092,62,66
453,265297,2559,-2527,4092,65,66
454,265297,2190,-2896,4092,65,66
455,265297,2127,-2959,4092,66,66
456,265297,2190,-2896,4092,65,66
457,265297,2208,-2878,4092,64,66
458,265297,1735,-3351,4092,62,66
459,265297,2183,-2903,4092,61,66
460,265297,2380,-2706,4092,61,66
461,265297,2637,-2449,4092,59,66
462,265297,2574,-2512,4092,60,66
463,265297,2388,-2698,4092,63,66
